"site","taxa_type","ecosystem","habitat","biome","guild","year","month","day","plot","unique_ID","unit_abundance","scale_abundance","species","abundance"
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Chromulina ",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon ",0.004
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon bavaricum",0.007
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon bavaricum",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon dialatatum",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Erkenia subaequiciliata",0.04
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Mallomonas akrokomas",0.004
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Stichogloea olivacea",0.008
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Cryptomonas erosa",0.125
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Cryptomonas lucens",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Rhodomonas minuta",0.005
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Aphanizomenon flos-aquae",0.034
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Synechocystis ",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Miscellaneous",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Gymnodinium sp 3",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Peridinium umbonatum",0.006
